"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"EXOSKELETON","US2018141206 (A1)","2018-05-24","BEREZIY EKATERINA SERGEEVNA [RU];  PISMENNAYA ELENA VALENTINOVNA [RU];  KUZMICHEV ANDREY VIKTOROVICH [RU];  LAVROVSKIY EDUARD KIROVICH [RU]","LLC EXOATLET [RU]","B25J9/00; A61H3/00","A61H3/00; A61H3/008; B25J9/0006; A61H2201/1481; A61H2201/1602; A61H2201/1676; A61H2201/5007; A61H2201/5069; A61H2201/5084; G05B2219/40305","US201615571946","20160718","RU20150144703 20151019; WO2016RU00448 20160718","","","","","","","","","","","","","",""
"MEDICAL DEVICE SHAFT RESISTANT TO COMPRESSION AND/OR TENSION","US2018140323 (A1)","2018-05-24","FOSTER DANIEL J [US];  POPPE KEVIN ROBERT [US];  SWEHLA BRADLEY S [US];  SCHEFF CHRISTOPHER JAY [US]","BOSTON SCIENT SCIMED INC [US]","A61B17/34; A61F2/962; A61M25/01","A61B17/3417; A61F2/2436; A61F2/962; A61M25/0043; A61M25/0138; A61M25/0144; A61B2017/00526; A61B2017/0443; A61B17/1631; A61F2/954; A61M2025/0058; A61M2025/0059; A61M2025/0063; A61M25/0136; A61M39/1011","US201715815682","20171116","US201715815682 20171116; US201662425419P 20161122","","","","","","","","","","","","","",""
"EXOSKELETON DEVICE AND CONTROL SYSTEM","US2018125738 (A1)","2018-05-10","WITTE KIRBY ANN [US];  JACKSON RACHEL W [US];  COLLINS STEVEN H [US]","UNIV CARNEGIE MELLON [US]","A61H3/00; A61B5/103; A61H1/02; F16C1/12","A61B5/1038; A61H1/0266; A61H3/00; F16C1/14; A61H2201/12; A61H2201/1642; A61H2201/165; A61H2201/50; A61H2201/5061; A61H2201/5092; F16C2316/10","US201715605313","20170525","US201715605313 20170525; US201662392263P 20160525","","","","","","","","","","","","","",""
"METHOD FOR CONTROLLING A CHANGE OF DAMPING IN AN ARTIFICIAL JOINT","US2018125681 (A1)","2018-05-10","SEIFERT DIRK [AT]","OTTO BOCK HEALTHCARE PRODUCTS GMBH [AT]","A61F2/68; A61F2/64; A61F2/66","A61F2/64; A61F2/6607; A61F2/68; A61F5/0125; A61F2002/5006; A61F2002/5033; A61F2002/6818; A61F2002/701; A61F2002/704; A61F2002/705; A61F2002/74; A61F2002/762; A61F2002/7625; A61F2002/763; A61F2002/7635; A61F2002/764; A61F2005/0188; A61H3/00","US201615569038","20160415","DE201510106384 20150424; WO2016EP58356 20160415","","","","","","","","","","","","","",""
"METHOD AND APPARATUS FOR HUMAN ARM SUPPORTING EXOSKELETON","US10124485 (B2); US2018111263 (A1)","2018-04-26","VAN ENGELHOVEN LOGAN [US];  KAZEROONI HOMAYOON [US]","UNIV CALIFORNIA [US]","B25J9/00; B25H1/10","B25H1/10; B25J9/0006; B65H1/10","US201715848487","20171220","US201715848487 20171220; US201615158113 20160518; US201562162871P 20150518","","","","","","","","","","","US6764231 (B1)","","",""
"MECHANISM FOR EFFICIENT DONNING AND DOFFING OF AN EXOSKELETON","US2018110632 (A1)","2018-04-26","ERRICO NICHOLAS [US];  KAZEROONI HOMAYOON [US];  JEONG YOON JUNG [US]","UNIV CALIFORNIA [US]","A61F2/76; A61F2/60; A61F2/64; A61H1/02; A61H3/00","A61F2/605; A61F2/64; A61F2/76; B25J9/0006; A61H1/0255; A61H3/00; A61H2201/1207; A61H2201/1454; A61H2201/1463; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/1676; A61H2201/5007","US201715848363","20171220","US201715848363 20171220; US201615190920 20160623; US201562183407P 20150623","","","","","","","","","","","","","",""
"UNIDIRECTIONAL ACTUATED EXOSKELETON DEVICE","US10265195 (B2); US2018104075 (A1)","2018-04-19","MOONEY LUKE [US];  DUVAL JEAN-FRANCOIS [US]","DEPHY INC [US]","A61F2/66; A61F2/70; A61F5/01","A61F2/6607; A61F2/70; A61F5/01; A61H1/024; A61H1/0262; A61H1/0266; A61H3/00; A61B5/4528; A61F2002/503; A61F2002/607; A61F2002/701; A61H2003/007; A61H2201/0134; A61H2201/0192; A61H2201/1215; A61H2201/14; A61H2201/1418; A61H2201/1642; A61H2201/1671; A61H2201/1676; A61H2201/50; A61H2201/5058; A61H2201/5061; A61H2201/5069; A61H2201/5097; A61H2205/10; A61H2205/102","US201715782306","20171012","US201715782306 20171012; US201662407671P 20161013; US201662433357P 20161213","US8235924 (B2); US2015374573 (A1); US2010130893 (A1); US8394038 (B2); US8516918 (B2); US8394038 (B2); US2015374573 (A1); US8235924 (B2); US2010130893 (A1); US8516918 (B2); US8235924 (B2); US8394038 (B2); US8516918 (B2); US8731716 (B2); US2010076360 (A1); US2010130893 (A1); US2012283845 (A1); US2015209214 (A1); US2015374573 (A1)","","","","","","","","US5363025 (A); US8702811 (B2); US8771370 (B2); US8852292 (B2); US8894592 (B2); US9445931 (B2); US2006211966 (A1); US2009222105 (A1); US2010256538 (A1); US2013012852 (A1); US2013102934 (A1); US2014330431 (A1); US2015173993 (A1); US2016331557 (A1); JP2011092507 (A); WO2010091377 (A2); WO2016164395 (A2)","","","","",""
"System and Apparatus for Robotic Device and Methods of Using Thereof","US10201435 (B2); US2018104074 (A1)","2018-04-19","VAN DER MERWE DIRK A [US];  LANGENFELD CHRISTOPHER C [US];  COULTER STEWART M [US];  WERNER CHRISTOPHER M [US];  SLATE MICHAEL J [US];  STERN ETHAN D [US]","DEKA PRODUCTS LP [US]","A61F2/54; B25J9/00","A61F2/54; A61F2/581; A61F2/585; A61F2/586; A61F2/588; A61F2/68; B25J3/04; B25J9/0006; A61F2002/5001; A61F2002/5083; A61F2002/587; A61F2002/6881; A61F2002/701; A61F2002/704; A61F2002/747; A61F2002/7625; A61F2002/7665; A61F2/78; A61F2250/0074; A61F2250/008","US201715845505","20171218","US201715845505 20171218; US201113083245 20110408; US20100322469P 20100409","","","","","","","","","","","US2011238079 (A1)","","",""
"CONTROL SYSTEM FOR EXOSKELETON APPARATUS","US2018098906 (A1)","2018-04-12","CAIRES THIAGO [CA];  PRYWATA MICHAL [CA]","BIONIK LABORATORIES INC [CA]","A61H3/00; A61H1/02; B25J9/16","A61H1/024; A61H1/0244; A61H3/00; B25J9/1615; A61H2201/0103; A61H2201/1463; A61H2201/165; A61H2201/1676; A61H2201/5007; A61H2201/5061; A61H2201/5069; A61H2201/5071; A61H2201/5084; G05B2219/40305","US201715829647","20171201","US201715829647 20171201; US201313946161 20130719","","","","","","","","","","","","","",""
"ADMITTANCE SHAPING CONTROLLER FOR EXOSKELETON ASSISTANCE OF THE LOWER EXTREMITIES","US10016332 (B2); US2018098907 (A1)","2018-04-12","AGUIRRE-OLLINGER GABRIEL [AU];  NAGARAJAN UMASHANKAR [US];  GOSWAMI AMBARISH [US]","HONDA MOTOR CO LTD [JP]","A61H3/00; A61H1/02","A61H1/0244; A61H3/00; A61H2003/007; A61H2201/1207; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/1652; A61H2201/5007; A61H2201/5079; A61H2201/5084","US201715832575","20171205","US201715832575 20171205; US201514750657 20150625; US201462037751P 20140815","US9861501 (B2); US9855181 (B2); US9808390 (B2); US9808073 (B1); US9808073 (B1); US9808390 (B2); US9855181 (B2); US9861501 (B2)","","","","","","","","US7190141 (B1); US7628766 (B1); US8082062 (B2); US8147436 (B2); US8419804 (B2); US8512415 (B2); US8801641 (B2); US9604369 (B2); US9682005 (B2); US9687409 (B2); US9707146 (B2); US9750620 (B2); US2007123997 (A1); US2009292369 (A1); US2010094185 (A1); US2011066088 (A1); US2011105966 (A1); US2011266323 (A1); US2012221119 (A1); US2013023800 (A1); US2013046218 (A1); US2013310979 (A1); US2014081420 (A1); US2014142475 (A1); US2014163435 (A1); US2014200715 (A1); WO2013067407 (A1); WO2013136351 (A2); WO2013142777 (A1); WO2013188510 (A9)","","","","",""
"VOICE RECOGNITION DEVICE","US10178458 (B2); US2018098142 (A1)","2018-04-05","KAKU WATARU [JP]","TOYOTA MOTOR CO LTD [JP]","H04R1/08; A63H3/02; A63H3/36; A63H33/26; B25J9/00; B25J19/02; H04R1/02","A63H3/02; A63H3/36; A63H33/26; B25J9/0006; B25J19/026; H04R1/023; H04R1/025; H04R1/028; H04R1/08; H04R1/086; H04R19/04; A63H2200/00; G10L15/28; H04R2410/07","US201715671715","20170808","JP20160196673 20161004","US2011170726 (A1); US2013051586 (A1); US2017245036 (A1); US2018242065 (A1); US2011170726 (A1); US2013051586 (A1); US2017245036 (A1); US2018242065 (A1)","","","","","","","","JP2003311028 (A)","","","","",""
"Manual Walk-Assist and Accessories Combo","US2018092795 (A1)","2018-04-05","FAGAN NORVAL NICHOLAS [US]","FAGAN NORVAL NICHOLAS [US]","A61H3/00; A61H1/02","A61H1/024; A61H3/00; A61H2001/0248; A61H2003/0216; A61H2003/043; A61H2201/163; A61H2201/1642; A61H2201/1652","US201715721909","20171001","US201715721909 20171001; US201662403140P 20161001; US201762566376P 20170930","US2015272809 (A1); US2006142105 (A1); US8057410 (B2); US2013231595 (A1); US2002094919 (A1); US8663136 (B1)","","","","","","","","","","","","",""
"Methods of Exoskeleton Communication and Control","US2018092536 (A1)","2018-04-05","SANDLER REUBEN [US];  STRAUSSER KATHERINE [US];  FIEDLER MARK [US];  AMUNDSON KURT [US];  BROWN DAN [US];  SMITH RENATA [US];  SWEENEY MATTHEW D [US];  ANGOLD RUSSDON [US];  MCCAFFREY NIEL [US];  EDMONDS DUANE [US];  MEADOWS CHRIS [US];  JONES JARED [US];  METTLER KELLY [US]","EKSO BIONICS INC [US]","A61B5/00; A61B5/11; A61B5/22; A61H1/02; A61H3/00; G08C17/00","A61B5/0024; A61B5/1116; A61B5/112; A61B5/224; A61B5/486; A61H1/0255; A61H3/00; G08C17/00; G08C17/02; A61B5/01; A61B5/0402; A61B5/0476; A61B5/1112; A61B5/1117; A61B5/14532; A61B2505/09; A61B2562/0247; A61H3/02; A61H3/04; A61H2201/165; A61H2201/1676; A61H2201/501; A61H2201/5012; A61H2201/5043; A61H2201/5058; A61H2201/5064; A61H2201/5084; A61H2201/5097; A61H2230/04; A61H2230/06; A61H2230/202; A61H2230/25; A61H2230/30; A61H2230/60","US201615566146","20160414","US201615566146 20160414; US201562147076P 20150414; US201562248659P 20151030; WO2016US27536 20160414","","","","","","","","","","","","","",""
"METHOD FOR CONTROLLING A DAMPING MODIFICATION","US2018085234 (A1)","2018-03-29","SEIFERT DIRK [AT];  PAWLIK ROLAND [AT];  SEYR MARTIN [AT]","OTTO BOCK HEALTHCARE PRODUCTS GMBH [AT]","A61F2/50; A61F2/64; A61H3/00","A61F2/50; A61F2/64; A61H3/00; A61F2002/5004; A61F2002/5006; A61F2002/5033; A61F2002/6863; A61F2002/7625; A61F2002/7635; A61F2002/764","US201615568772","20160415","DE201510106390 20150424; WO2016EP58343 20160415","","","","","","","","","","","","","",""
"Exoskeleton Cord Loop-Type Actuator","US10342723 (B2); US2018085277 (A1)","2018-03-29","JULIN AARON [US]","EKSO BIONICS INC [US]","A61H1/02","A61F2/60; A61F2/64; A61F2/70; A61F5/0102; A61H1/02; A61H1/024; A61H1/0255; A61H1/0262; A61H3/00; B25J9/0006; B25J9/104; F16H19/00; F16H19/0654; A61F2005/0155; A61H2201/0176; A61H2201/1215; A61H2201/1472; A61H2201/165; A61H2201/5053; A61H2201/5069; F16H19/0654","US201615564497","20160406","US201615564497 20160406; US201562193901P 20150717; US201562143473P 20150406; WO2016US26117 20160406","US2014277739 (A1); US2013211297 (A1); US2013046218 (A1); US2016107309 (A1); US2016128890 (A1); US2013289452 (A1); US2011199038 (A1); US4843921 (A); US2014277739 (A1); US2013211297 (A1); US2013046218 (A1); US2016128890 (A1); US2013289452 (A1); US4843921 (A); US2016107309 (A1); US2011199038 (A1); US4843921 (A); US2011199038 (A1); US2013046218 (A1); US2013211297 (A1); US2013289452 (A1); US2014277739 (A1); US2016107309 (A1); US2016128890 (A1)","","","","","","","","US3172127 (A); US3382506 (A); US3826251 (A); US4038706 (A); US4232405 (A); US4252111 (A); US4359207 (A); US4456003 (A); US4502472 (A); US7543690 (B2); US7722555 (B2); US7949429 (B2); US8123709 (B2); US8237390 (B2); US8256310 (B2); US8500823 (B2); US8833826 (B2); US9149370 (B2); US9266233 (B2); US9566173 (B2); US9693926 (B2); US2008066574 (A1); US2015100006 (A1)","","","","",""
"Methods of Enhancing the Rehabilitation or Training of an Exoskeleton Wearer","US2018078442 (A1)","2018-03-22","ZOSS ADAM [US];  MUSICK DARRELL [US];  HARDING NATHAN [US]","EKSO BIONICS INC [US]","A61H3/00; A61F2/68; A61H1/02","A61F2/68; A61H1/0255; A61H1/0262; A61H3/00; A61H3/008; A61H3/02; A61H2201/1621; A61H2201/1642; A61H2201/165; A61H2201/1652; A61H2201/501; A61H2201/5069; A61H2201/5071; A61H2201/5084","US201515524702","20151111","US201515524702 20151111; US201462078114P 20141111; WO2015US60124 20151111","","","","","","","","","","","","","",""
"ERGONOMIC EXOSKELETON SYSTEM FOR THE UPPER LIMB","US2018071163 (A1)","2018-03-15","CEMPINI MARCO [IT];  VITIELLO NICOLA [IT];  GIOVACCHINI FRANCESCO [IT];  MOISE MATTEO [IT];  CORTESE MARIO [IT]","SCUOLA SUPERIORE DI STUDI UNIV E DI PERFEZIONAMENTO SANTANNA [IT];  AZIENDA OSPEDALIERA PISANA [IT]","A61H1/02","A61H1/0277; A61H1/0281; A61H2201/0157; A61H2201/1215; A61H2201/14; A61H2201/1481; A61H2201/1616; A61H2201/1638; A61H2201/1671; A61H2201/1676; B25J9/0006; F16H25/20","US201615565610","20160411","IT2015PI00027 20150411; WO2016IB52049 20160411","","","","","","","","","","","","","",""
"LUMBAR SUPPORT APPARATUS FOR POWERED EXOSKELETON","US2018071129 (A1)","2018-03-15","OZSECEN MUZAFFER Y [US];  RYNE PATRIK M [US]","STEERING SOLUTIONS IP HOLDING [US]","A61F5/02; A61H3/00","A61F5/028; A61H1/0244; A61H3/00; A61F2250/0003; A61H2003/007; A61H2201/0103; A61H2201/1207; A61H2201/1238; A61H2201/1409; A61H2201/1614; A61H2201/1619; A61H2201/1623; A61H2201/1628; A61H2201/164; A61H2201/1642; A61H2201/1647; A61H2201/1652; A61H2201/1671; A61H2201/5053; A61H2201/5056; A61H2203/0406; A61H2205/081; A61H2205/10","US201615262684","20160912","US201615262684 20160912","","","","","","","","","","","","","",""
"PNEUMATIC LOWER EXTREMITY GAIT REHABILITATION TRAINING SYSTEM","US10292892 (B2); US2018071580 (A1)","2018-03-15","LEE CHING-SHENG [TW];  LI I-HSUN [TW];  CHIANG HSIN-HAN [TW];  LEE LIAN-WANG [TW];  HONG FU-CHEN [TW];  CHEN RUI-PENG [TW];  CHEN WEI-GAN [TW]","LUNGHWA UNIV OF SCIENCE AND TECHNOLOGY [TW]","A63B24/00; A61H3/00","A61H3/00; A61H3/008; A61H2201/1628; A61H2201/164; A61H2201/1676","US201615262250","20160912","US201615262250 20160912","","","","","","","","","","","US7628766 (B1); US2010270771 (A1); US2010270771 (A1)","","",""
"EXOSKELETON INCLUDING A MECHANICAL ANKLE LINK HAVING TWO PIVOT AXES","US2018055712 (A1)","2018-03-01","GAYRAL THIBAULT [FR];  BOULANGER ALEXANDRE [FR]","WANDERCRAFT [FR]","A61H1/02; A61H3/00","A61H1/024; A61H1/0266; A61H3/00; A61H3/008; A61H2201/12; A61H2201/123; A61H2201/1238; A61H2201/149; A61H2201/164; A61H2201/1642; A61H2201/165; A61H2201/1673; A61H2201/1676; A61H2201/1678; A61H2201/5053","US201615564962","20160407","FR20150052975 20150407; WO2016EP57626 20160407","","","","","","","","","","","","","",""
"ORTHOPEDIC KNEE BRACE","US10117769 (B2); US2018055673 (A1)","2018-03-01","HUMPHREY JAY C [US]","HUMPHREY JAY C [US]","A61F5/01","A61F5/0125; A61F2005/0167; A61F2005/0197","US201615252340","20160831","US201615252340 20160831","","","","","","","","","","","US2013038056 (A1)","","",""
"MOBILITY SYSTEM","US2018050449 (A1)","2018-02-22","STEFAN FREDERIC [DE];  GUSSEN UWE [DE];  PETRI FRANK [DE]","FORD GLOBAL TECH LLC [US]","B25J9/00; A61G5/14; A61H3/00; B60N2/90","A61G5/14; A61H1/024; A61H1/0244; A61H3/00; B25J9/0006; B60N2/56; B60N2/90; A61G3/00; A61H2003/007; A61H2201/0119; A61H2201/0157; A61H2201/0196; A61H2201/0207; A61H2201/0214; A61H2201/1207; A61H2201/1633; A61H2201/165; A61H2201/50; A61H2201/5043; G02B27/01","US201715679883","20170817","DE201610215399 20160817","","","","","","","","","","","","","",""
"POWERED EXOSKELETON","US2018042804 (A1)","2018-02-15","ZHANG YING [CN];  GUI ZHONGCHENG [CN];  ZHANG YIFEI [CN];  ZHAO KAI [CN];  GU YU [CN];  DING HONGLI [CN]","BOE TECHNOLOGY GROUP CO LTD [CN]","A61H3/00","A61F4/00; A61H3/00; A63C17/04; A63C17/12; A61H2003/043; A63C2203/50; B25J9/0006","US201615531544","20160831","CN20161006157 20160105; WO2016CN97597 20160831","US2009292369 (A1); US2003062697 (A1); CN104856842 (A); US2014196757 (A1); US2005029756 (A1); US2015025423 (A1); CN104856842 (A)","","","","","","","","","","","","",""
"Exoskeleton and Method of Transferring a Weight of a Load from the Exoskeleton to a Support Surface","US2018042803 (A1)","2018-02-15","AMUNDSON KURT [US]","EKSO BIONICS INC [US]","A61H1/02; B25J9/00; B25J9/10; B25J9/14","A61H1/0237; B25J9/0006; B25J9/1075; B25J9/14; A61H2201/018; A61H2201/0196; A61H2201/1246; A61H2201/1454; A61H2201/165; A61H2201/503; A61H2201/5071; A61H2205/08; A61H2205/12","US201515541072","20151230","US201462097978P 20141230; US201515541072 20151230; WO2015US68106 20151230","US9956092 (B1); CN1171924 (A); CN1194818 (A); WO9849976 (A1)","","","","","","","","","","","","",""
"MECHANICAL EXOSKELETON WEARABLE APPARATUS, OPERATION CONTROL METHOD AND OPERATION CONTROL DEVICE FOR THE SAME","US2018036146 (A1)","2018-02-08","ZHANG YIFEI [CN];  ZHAO KAI [CN];  ZHANG YING [CN];  GU YU [CN];  DING HONGLI [CN]","BOE TECHNOLOGY GROUP CO LTD [CN]","A61F2/60; A61F2/68; A61F5/01","A61F2/60; A61F2/68; A61F5/0102; A61H3/00; B25J9/0006; A61F2005/0158; A61H2201/1642; A61H2201/165; A61H2201/1666","US201715647364","20170712","CN201610626933 20160803","","","","","","","","","","","","","",""
"WEARABLE SOFT EXOSKELETON APPARATUS","US10315062 (B2); US2018021618 (A1)","2018-01-25","LEE DONG-CHAN [KR]","FRT CO LTD [KR]","A63B21/00; A61H1/02; A61H3/00","A61H1/0237; A61H3/00; A63B21/00181; B25J9/0006; B25J9/1075; B25J9/14; B25J11/008; A61H1/0262; A61H2201/1238; A61H2201/165; A61H2201/1652; A61H2201/1683; A61H2201/5051; A61H2201/5061; A61H2201/5071; B25J9/0006; B25J9/142","US201615393694","20161229","KR20160094159 20160725","","","","","","","","","","","KR101315199B (B1)","","",""
"Exoskeleton and Method of Increasing the Flexibility of an Exoskeleton Joint","US2018021943 (A1)","2018-01-25","ANGOLD RUSSDON [US];  PREUSS ADAM [US];  FLEMING NICHOLAS [US];  SWEENEY MATTHEW D [US]","EKSO BIONICS INC [US]","B25J9/00; A61F2/60; A61F5/01; A61H3/00; F16M13/04","A61F2/60; A61F5/0111; A61H3/00; B25J9/0006; B25J17/00; F16M13/04","US201715704084","20170914","US201715704084 20170914; US201615023773 20160322; WO2015US27523 20150424; US201461987696P 20140502","","","","","","","","","","","","","",""
"LAUNDRY TREATING APPLIANCE","US2018010279 (A1)","2018-01-11","ERICKSON DONALD E [US];  MALHEIROS GEORGE W [US];  MILLER CHRISTOPH J [US]","WHIRLPOOL CO [US]","D06F37/22; D06F37/20; D06F37/26","D06F37/22; D06F37/206; D06F37/265; D06F37/267; D06F37/268","US201715677128","20170815","US201715677128 20170815; US201514810851 20150728; US201414574522 20141218","","","","","","","","","","","","","",""
"Robust Device For Spreading Sand At Predetermined Dimensions And For Placing Ducts In A Sewerage Channel","US2017370089 (A1)","2017-12-28","DINU SORIN [RO]","DINU SORIN [RO]","E03F3/06; E02F3/76; E02F3/84","E01C19/20; E02F3/76; E02F3/847; E02F5/10; E02F5/12; E03F3/06","US201615543694","20160113","RO20150000004U 20150114; WO2016RO00004 20160113","","","","","","","","","","","","","",""
"TRUNK SUPPORTING EXOSKELETON AND METHOD OF USE","US10285843 (B2); US2017360588 (A1)","2017-12-21","YANGYUENTHANASAN THEERAPAT [US];  TUNG WAYNE [US];  KAZEROONI HOMAYOON [US]","UNIV CALIFORNIA [US]","A61F5/02; A61H1/02; A61F5/01","A61F5/026; A61F5/028; A61H1/0244; A61H1/0292; A61F2005/0179; A61H2201/1246; A61H2201/1261; A61H2201/1619; A61H2201/164; A61H2201/165","US201715654929","20170720","US201715654929 20170720; US201514944635 20151118; US201314125117 20131211; WO2012US41891 20120611; US201161495484P 20110610","US5152730 (A); US6056673 (A); US6283348 (B1); US8033518 (B2); US2004232180 (A1); US2014331457 (A1); US4342140 (A); US4342140 (A); US5152730 (A); US6056673 (A); US6283348 (B1); US8033518 (B2); US2004232180 (A1); US2014331457 (A1)","","","","","","","","US1202851 (A); US1409326 (A); US3790209 (A); US4256098 (A); US4745911 (A); US4829989 (A); US5127897 (A); US5176622 (A); US5207635 (A); US5248293 (A); US5259833 (A); US5275426 (A); US5314404 (A); US5951591 (A); US6436065 (B1); US7553266 (B2); US7744552 (B1); US8060945 (B2); US8568344 (B2); US9022956 (B2); US9655762 (B2); US9744066 (B2); US2005130815 (A1); US2005158117 (A1); US2007090143 (A1); US2008161738 (A1); US2008228121 (A1); US2009292369 (A1); US2010094185 (A1); US2010125230 (A1); US2010298746 (A1); US2011098617 (A1); US2011105966 (A1); US2011111932 (A1); US2011266323 (A1); US2012136292 (A1); US2014121573 (A1); US2015142130 (A1); US2016206498 (A1); US2017196712 (A1); CN201934433U (U); JPH01274758 (A); JPH03165765 (A); JP2007020672 (A); JP2007097636 (A); JP2007130234 (A); JP2007282991 (A); JP2009011818 (A); WO2010011848 (A1)","","","","",""
"EXOSKELETON AND METHOD OF OPERATION THEREOF","US2017360646 (A1)","2017-12-21","POLI LUCA SIMONE [IT];  BUSSONE MARCO [IT]","POLI LUCA SIMONE [IT]","A61H3/00; A61H1/02","A61H1/0255; A61H1/0262; A61H3/00; A61H2003/005; A61H2003/007; A61H2201/1223; A61H2201/1642; A61H2201/165; A61H2203/0406; A61H2203/0431; A61H2205/10","US201615542564","20161028","IT2015UB05017 20151102; WO2016IB56502 20161028","","","","","","","","","","","","","",""
"TERRAIN ADAPTIVE POWERED JOINT ORTHOSIS","US2017354529 (A1)","2017-12-14","HAN ZHIXIU [US];  WILLIAMS CHRISTOPHER [US];  WEBER JEFF ANTHONY [US];  BARNHART CHRISTOPHER ERIC [US];  HERR HUGH M [US];  CASLER JR RICHARD JAMES [US]","BIONX MEDICAL TECH INC [US]","A61F5/01; A61H1/02; A61H3/00","A61F5/0125; A61H1/024; A61H3/00; A61H2003/001; A61H2201/1642; A61H2201/165; A61H2201/5007; A61H2201/5064; A61H2201/5084; A61H2201/5097; A61H2205/10; A61H2205/102","US201715600930","20170522","US201715600930 20170522; US201213356230 20120123; US201161435045P 20110121","","","","","","","","","","","","","",""
